,Rk,G,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Empty,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,Empty,D_eFG%,D_TOV%,D_ORB%,D_FTFTA,Team
2016-01-20,43,43,@,TOR,L,109,115,116.4,122.8,93.7,0.176,0.306,0.595,47.1,69.8,8.5,1.9,,0.576,13.3,22.2,0.129,,0.62,12.6,73.5,0.145,BOS
2016-01-22,44,44,,CHI,W,110,101,110.1,101.1,99.9,0.219,0.24,0.523,47.9,60.5,14.0,7.9,,0.49,10.2,31.4,0.167,,0.444,16.6,66.7,0.247,BOS
2016-01-24,45,45,@,PHI,W,112,92,107.9,88.6,103.8,0.196,0.258,0.532,52.0,67.4,13.5,3.2,,0.5,13.2,30.6,0.155,,0.438,19.0,73.5,0.157,BOS
2016-01-25,46,46,@,WAS,W,116,91,114.7,90.0,101.1,0.256,0.244,0.579,52.4,70.5,11.9,2.0,,0.539,9.1,17.1,0.211,,0.473,18.5,87.8,0.267,BOS
2016-01-27,47,47,,DEN,W,111,103,109.4,101.5,101.4,0.25,0.292,0.521,47.5,70.7,14.8,7.9,,0.474,9.4,26.4,0.208,,0.47,16.9,70.8,0.286,BOS
2016-01-29,48,48,,ORL,W,113,94,116.4,96.8,97.1,0.244,0.279,0.593,52.9,65.1,8.2,10.2,,0.558,11.2,20.0,0.198,,0.449,14.8,80.9,0.291,BOS
2016-01-31,49,49,@,ORL,L,114,119,115.7,120.8,98.5,0.269,0.495,0.548,45.1,43.6,9.1,3.4,,0.505,8.8,25.5,0.215,,0.598,13.3,70.0,0.256,BOS
2016-02-02,50,50,@,NYK,W,97,89,105.3,96.6,92.1,0.189,0.211,0.498,47.4,50.0,9.8,3.2,,0.461,9.3,26.1,0.156,,0.415,14.5,67.3,0.256,BOS
2016-02-03,51,51,,DET,W,102,95,99.1,92.3,102.9,0.135,0.219,0.501,50.5,66.7,7.8,13.7,,0.474,9.0,13.3,0.115,,0.441,14.1,82.7,0.235,BOS
2016-02-05,52,52,@,CLE,W,104,103,104.4,103.4,99.6,0.284,0.227,0.525,51.0,55.3,6.0,8.8,,0.472,13.2,25.6,0.239,,0.471,12.0,71.7,0.241,BOS
2016-02-07,53,53,,SAC,W,128,119,118.8,110.4,107.8,0.165,0.264,0.656,60.5,66.7,8.4,7.2,,0.632,19.7,32.4,0.143,,0.547,11.9,84.1,0.158,BOS
2016-02-09,54,54,@,MIL,L,111,112,113.8,114.8,97.6,0.286,0.345,0.587,53.7,71.8,11.3,2.9,,0.524,16.0,32.5,0.274,,0.551,12.5,73.8,0.17,BOS
2016-02-10,55,55,,LAC,W (1 OT),139,134,126.2,121.7,99.7,0.389,0.347,0.625,49.4,72.3,4.5,3.6,,0.563,8.2,18.6,0.337,,0.588,11.6,79.5,0.4,BOS
2016-02-19,56,56,@,UTA,L,93,111,99.7,118.9,93.3,0.444,0.309,0.48,40.0,60.0,8.6,6.7,,0.414,6.7,15.7,0.321,,0.618,14.7,76.5,0.397,BOS
2016-02-21,57,57,@,DEN,W,121,101,116.2,97.0,104.2,0.206,0.33,0.572,57.1,68.1,10.6,3.8,,0.536,13.8,33.3,0.175,,0.507,21.4,84.6,0.37,BOS
2016-02-22,58,58,@,MIN,L,122,124,117.4,119.4,103.9,0.168,0.277,0.562,42.7,67.3,12.5,2.9,,0.535,9.2,21.7,0.139,,0.566,14.5,65.1,0.361,BOS
2015-10-28,1,1,,CHI,L,100,115,101.0,116.1,99.0,0.301,0.097,0.475,53.6,48.7,11.1,10.0,,0.419,11.0,32.0,0.237,,0.628,18.0,85.3,0.218,BRK
2015-10-30,2,2,@,SAS,L,75,102,78.5,106.8,95.5,0.195,0.208,0.449,36.4,54.8,6.3,9.4,,0.435,15.2,4.3,0.104,,0.517,16.4,71.4,0.151,BRK
2015-10-31,3,3,@,MEM,L,91,101,102.5,113.7,88.8,0.228,0.165,0.523,50.6,55.3,3.4,5.3,,0.5,12.1,20.5,0.152,,0.481,8.9,76.1,0.3,BRK
2015-11-02,4,4,,MIL,L,96,103,105.5,113.2,91.0,0.278,0.241,0.541,49.3,58.3,3.3,8.0,,0.494,16.9,26.3,0.228,,0.582,14.2,75.8,0.247,BRK
2015-11-04,5,5,@,ATL,L,87,101,95.7,111.1,90.9,0.157,0.253,0.49,55.8,66.7,9.9,7.4,,0.464,17.6,33.3,0.12,,0.539,13.1,82.9,0.25,BRK
2015-11-06,6,6,,LAL,L,98,104,96.9,102.8,101.1,0.215,0.204,0.481,53.5,52.5,5.9,10.9,,0.446,12.8,28.6,0.161,,0.468,13.6,86.5,0.397,BRK
2015-11-07,7,7,@,MIL,L,86,94,94.4,103.2,91.1,0.232,0.11,0.476,55.9,52.9,12.1,4.8,,0.433,16.6,35.4,0.183,,0.5,14.4,77.8,0.146,BRK
2015-11-11,8,8,@,HOU,W,106,98,112.9,104.3,93.9,0.173,0.173,0.502,57.1,59.5,5.3,17.2,,0.469,9.4,38.5,0.143,,0.469,6.3,75.5,0.061,BRK
2015-11-13,9,9,@,SAC,L,109,111,107.3,109.3,101.6,0.236,0.236,0.555,46.8,57.1,6.9,6.0,,0.517,13.2,20.5,0.191,,0.484,11.7,70.0,0.213,BRK
2015-11-14,10,10,@,GSW,L (1 OT),99,107,96.5,104.3,93.0,0.163,0.184,0.471,50.0,53.7,11.7,6.3,,0.429,10.3,22.0,0.153,,0.505,12.1,78.0,0.093,BRK
2015-11-17,11,11,,ATL,W,90,88,98.3,96.1,91.6,0.155,0.238,0.502,50.0,59.5,15.3,6.4,,0.494,10.9,20.0,0.083,,0.513,19.6,81.4,0.132,BRK
2015-11-18,12,12,@,CHO,L,111,116,109.4,114.3,101.5,0.242,0.165,0.551,43.0,56.8,4.9,7.3,,0.511,8.2,11.1,0.198,,0.556,13.5,78.0,0.338,BRK
2015-11-20,13,13,@,BOS,L,95,120,94.8,119.7,100.2,0.27,0.213,0.477,51.8,48.6,10.0,0.0,,0.438,16.0,29.2,0.191,,0.644,14.9,81.1,0.092,BRK
2015-11-22,14,14,,BOS,W,111,101,118.4,107.8,93.7,0.418,0.19,0.593,58.3,45.0,11.7,8.9,,0.538,13.0,35.9,0.329,,0.512,15.7,77.8,0.207,BRK
2015-11-25,15,15,@,OKC,L,99,110,96.7,107.4,102.4,0.128,0.138,0.499,51.7,46.5,9.8,5.6,,0.473,14.6,22.4,0.106,,0.59,17.9,89.5,0.231,BRK
2015-11-28,16,16,@,CLE,L,88,90,89.4,91.4,98.5,0.296,0.21,0.481,48.4,63.6,9.1,6.7,,0.432,14.9,17.8,0.222,,0.454,16.7,76.0,0.126,BRK
2015-11-29,17,17,,DET,W,87,83,87.3,83.3,99.7,0.198,0.148,0.494,50.0,42.9,8.0,14.3,,0.457,17.8,17.9,0.16,,0.366,11.3,69.8,0.089,BRK
