,Team,Date,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,D_eFG%,D_TOV%,D_ORB%,D_FTFTA
101,ATL,2012-01-06,0,CHA,,102,96,109.3,102.9,84.5,0.168,0.211,0.5,51.7,69.0,8.6,5.8,0.479,12.1,34.8,0.116,0.5,13.1,69.8,0.103
102,ATL,2012-01-07,1,CHI,1.0,109,94,119.0,102.6,91.6,0.072,0.145,0.636,41.9,68.1,17.5,11.8,0.62,13.2,13.3,0.072,0.476,17.3,61.4,0.195
103,ATL,2012-01-09,0,NJN,1.0,106,101,121.0,115.3,87.6,0.244,0.269,0.614,45.2,61.9,9.1,3.6,0.596,10.4,23.1,0.167,0.539,15.6,70.6,0.234
104,ATL,2012-01-11,0,IND,0.0,84,96,86.6,99.0,97.0,0.338,0.163,0.457,51.1,46.7,9.3,4.2,0.406,16.4,22.7,0.238,0.494,14.8,79.5,0.141
105,ATL,2012-01-12,1,CHA,1.0,111,81,123.8,90.3,89.7,0.311,0.211,0.542,64.7,69.0,8.9,5.7,0.5,8.1,43.5,0.233,0.429,12.4,89.7,0.179
106,ATL,2012-01-14,1,MIN,1.0,93,91,100.4,98.3,92.6,0.346,0.269,0.517,56.0,65.6,8.6,9.4,0.455,17.5,31.8,0.282,0.471,13.4,78.7,0.129
107,ATL,2012-01-16,1,TOR,1.0,93,84,106.0,95.7,87.8,0.437,0.183,0.549,46.2,65.6,6.8,10.6,0.486,10.6,16.2,0.338,0.442,14.6,73.2,0.192
108,ATL,2012-01-18,1,POR,1.0,92,89,99.9,96.6,92.1,0.38,0.155,0.555,53.4,54.5,4.3,9.6,0.5,14.5,15.2,0.296,0.408,8.2,76.4,0.152
109,ATL,2012-01-20,0,PHI,0.0,76,90,87.1,103.2,87.2,0.108,0.203,0.49,38.6,65.6,9.2,3.0,0.466,16.2,7.7,0.095,0.44,11.5,65.9,0.19
110,ATL,2012-01-21,1,CLE,1.0,121,94,130.3,101.2,92.9,0.289,0.289,0.647,52.2,67.4,11.8,6.0,0.62,9.7,24.3,0.217,0.536,18.0,84.4,0.271
